                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2638,                 1.2313,                 1.2441,                0.92877,                 0.8954,                0.92576,                0.54483,                 1.4034,                0.80638,                 1.3379,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2727,                0.79974,                 1.2638,                0.95914,                0.90713,                0.94383,                0.58227,                 1.3751,                0.66741,                 1.3226,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2457,                0.73826,                 1.2521,                0.95247,                0.91417,                 0.9484,                0.60093,                 1.3486,                0.63335,                 1.2934,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2189,                0.69597,                 1.2424,                0.96015,                0.92663,                 0.9654,                0.63235,                 1.2734,                0.56197,                 1.2436,               0.001703,               0.001703,               0.001703
                      5,                 1.1983,                0.66061,                  1.226,                0.96416,                0.93382,                0.96854,                0.64749,                 1.2484,                0.52875,                 1.2294,               0.001703,               0.001703,               0.001703
                      6,                 1.1704,                0.63635,                 1.2099,                0.97182,                0.93817,                0.97261,                 0.6452,                  1.221,                 0.5285,                  1.226,               0.001604,               0.001604,               0.001604
                      7,                 1.1482,                0.60492,                 1.1977,                0.97286,                 0.9414,                0.97098,                0.65093,                 1.2133,                0.51081,                 1.2151,               0.001505,               0.001505,               0.001505
                      8,                 1.1336,                0.58543,                 1.1852,                0.96121,                0.94153,                0.96968,                0.65039,                 1.2228,                0.49688,                  1.216,               0.001406,               0.001406,               0.001406
                      9,                 1.1242,                0.57752,                 1.1791,                0.96553,                0.94598,                0.97516,                0.67047,                 1.1687,                 0.4843,                 1.1827,               0.001307,               0.001307,               0.001307
                     10,                 1.0978,                 0.5561,                 1.1676,                  0.976,                0.94653,                0.97495,                0.67263,                 1.1709,                0.47098,                 1.1843,               0.001208,               0.001208,               0.001208
                     11,                 1.0904,                0.48196,                 1.1984,                0.97234,                0.94512,                 0.9772,                 0.6644,                 1.1751,                0.48699,                 1.1941,               0.001109,               0.001109,               0.001109
                     12,                 1.0748,                0.46249,                 1.1929,                0.97763,                0.94272,                0.97754,                0.66923,                 1.1793,                0.45492,                 1.1836,                0.00101,                0.00101,                0.00101
                     13,                 1.0594,                0.45155,                 1.1834,                0.97217,                0.95048,                0.97957,                0.68737,                  1.141,                0.45154,                 1.1649,               0.000911,               0.000911,               0.000911
                     14,                 1.0463,                0.43481,                 1.1772,                0.98535,                0.94645,                0.97942,                0.68778,                 1.1414,                 0.4385,                 1.1707,               0.000812,               0.000812,               0.000812
                     15,                 1.0303,                0.42744,                 1.1653,                0.97757,                0.94887,                0.97947,                0.69135,                 1.1409,                0.42949,                 1.1623,               0.000713,               0.000713,               0.000713
                     16,                 1.0184,                0.41414,                 1.1608,                0.97777,                0.94915,                0.98196,                0.69191,                 1.1291,                0.43171,                 1.1544,               0.000614,               0.000614,               0.000614
                     17,                 1.0038,                0.40156,                 1.1495,                0.97846,                0.95888,                0.98345,                0.69433,                 1.1325,                0.41319,                 1.1627,               0.000515,               0.000515,               0.000515
                     18,                0.98841,                0.38918,                 1.1403,                0.97905,                0.95966,                0.98387,                0.69481,                 1.1267,                0.40741,                 1.1528,               0.000416,               0.000416,               0.000416
                     19,                0.97234,                0.37915,                 1.1306,                0.97561,                0.96013,                0.98436,                0.69377,                 1.1222,                0.40757,                 1.1533,               0.000317,               0.000317,               0.000317
                     20,                0.96599,                0.37045,                 1.1258,                0.98136,                0.95075,                0.98328,                0.69683,                 1.1178,                0.40395,                 1.1511,               0.000218,               0.000218,               0.000218
